game_id,comp,season,date_utc,stage,venue,home_name,home_code,away_name,away_code,home_score,away_score,status,source,first_seen
nba-18446988,NBA,2025-26,2025-11-13T01:00:00Z,Regular Season,,San Antonio Spurs,SAS,Golden State Warriors,GSW,120,125,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446989,NBA,2025-26,2025-11-13T01:30:00Z,Regular Season,,Dallas Mavericks,DAL,Phoenix Suns,PHX,114,123,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446990,NBA,2025-26,2025-11-13T02:30:00Z,Regular Season,,Oklahoma City Thunder,OKC,Los Angeles Lakers,LAL,121,92,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446991,NBA,2025-26,2025-11-13T03:00:00Z,Regular Season,,Sacramento Kings,SAC,Atlanta Hawks,ATL,100,133,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446992,NBA,2025-26,2025-11-13T03:30:00Z,Regular Season,,LA Clippers,LAC,Denver Nuggets,DEN,116,130,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446993,NBA,2025-26,2025-11-14T00:00:00Z,Regular Season,,Cleveland Cavaliers,CLE,Toronto Raptors,TOR,113,126,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446994,NBA,2025-26,2025-11-14T02:00:00Z,Regular Season,,Phoenix Suns,PHX,Indiana Pacers,IND,133,98,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446995,NBA,2025-26,2025-11-14T02:00:00Z,Regular Season,,Utah Jazz,UTA,Atlanta Hawks,ATL,122,132,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446996,NBA,2025-26,2025-11-15T00:00:00Z,Regular Season,,New York Knicks,NYK,Miami Heat,MIA,140,132,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446997,NBA,2025-26,2025-11-15T00:00:00Z,Regular Season,,Orlando Magic,ORL,Brooklyn Nets,BKN,105,98,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
