game_id,comp,season,date_utc,stage,venue,home_name,home_code,away_name,away_code,home_score,away_score,status,source,first_seen
epl-openfootball-47d1e5947117fcaf27e28cd5,EPL,2012-13,2012-08-18T12:00:00Z,Matchday 1,,Fulham FC,,Norwich City,,5,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-977cde08424c77551e1f9c34,EPL,2012-13,2012-08-18T12:00:00Z,Matchday 1,,West Ham United,,Aston Villa,,1,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-c9027e8a0582bf2e7f526602,EPL,2012-13,2012-08-18T12:00:00Z,Matchday 1,,Newcastle United,,Tottenham Hotspur,,2,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-d1b8da6fe8eb89884524853d,EPL,2012-13,2012-08-18T12:00:00Z,Matchday 1,,Arsenal FC,,Sunderland AFC,,0,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-d5e756d0c7be15e8777ae2c5,EPL,2012-13,2012-08-18T12:00:00Z,Matchday 1,,Reading FC,,Stoke City,,1,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-e293b2546b2d27b591a935ee,EPL,2012-13,2012-08-18T12:00:00Z,Matchday 1,,Queens Park Rangers,,Swansea City,,0,5,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-f3346a5ab4ae1c01b0352363,EPL,2012-13,2012-08-18T12:00:00Z,Matchday 1,,West Bromwich Albion,,Liverpool FC,,3,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-20bc9b2be84a29784f1d37c3,EPL,2012-13,2012-08-19T12:00:00Z,Matchday 1,,Manchester City,,Southampton FC,,3,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-24741c54f35e6422bc1bd794,EPL,2012-13,2012-08-19T12:00:00Z,Matchday 1,,Wigan Athletic,,Chelsea FC,,0,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-79c3f52180bcf3cc9897828e,EPL,2012-13,2012-08-20T12:00:00Z,Matchday 1,,Everton FC,,Manchester United,,1,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-b041ec3261d3aeb839b761d0,EPL,2012-13,2012-08-22T12:00:00Z,Matchday 3,,Chelsea FC,,Reading FC,,4,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-23d7c57b1a84cebff6817d57,EPL,2012-13,2012-08-25T12:00:00Z,Matchday 2,,Norwich City,,Queens Park Rangers,,1,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-297d7742f3e38d197571cb78,EPL,2012-13,2012-08-25T12:00:00Z,Matchday 2,,Chelsea FC,,Newcastle United,,2,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-54db11d8fc2c1d4e1cef8423,EPL,2012-13,2012-08-25T12:00:00Z,Matchday 2,,Manchester United,,Fulham FC,,3,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-97b087f761c93c4edb19e55a,EPL,2012-13,2012-08-25T12:00:00Z,Matchday 2,,Aston Villa,,Everton FC,,1,3,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-a3c47f13e7b32d541c7d6adf,EPL,2012-13,2012-08-25T12:00:00Z,Matchday 2,,Swansea City,,West Ham United,,3,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-e72fcc56ac53dd133b716604,EPL,2012-13,2012-08-25T12:00:00Z,Matchday 2,,Southampton FC,,Wigan Athletic,,0,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-fa69a63d6c91956ac74e32f0,EPL,2012-13,2012-08-25T12:00:00Z,Matchday 2,,Tottenham Hotspur,,West Bromwich Albion,,1,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-0845bd99095f06bdde7c343b,EPL,2012-13,2012-08-26T12:00:00Z,Matchday 2,,Liverpool FC,,Manchester City,,2,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-c50f9c2cd6de93ed3af6696a,EPL,2012-13,2012-08-26T12:00:00Z,Matchday 2,,Stoke City,,Arsenal FC,,0,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-151769b59c2158eb258fde51,EPL,2012-13,2012-09-01T12:00:00Z,Matchday 3,,Swansea City,,Sunderland AFC,,2,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-27a0806a8d40839c3438f9e4,EPL,2012-13,2012-09-01T12:00:00Z,Matchday 3,,Tottenham Hotspur,,Norwich City,,1,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-945aed144ec92d8ba4aff836,EPL,2012-13,2012-09-01T12:00:00Z,Matchday 3,,Manchester City,,Queens Park Rangers,,3,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
