game_id,comp,season,date_utc,stage,venue,home_name,home_code,away_name,away_code,home_score,away_score,status,source,first_seen
epl-openfootball-2ae96b478b578a8ee7379830,EPL,2010-11,2010-08-14T12:00:00Z,Matchday 1,,Chelsea FC,,West Bromwich Albion,,6,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-51828af650a5acba5e3345d5,EPL,2010-11,2010-08-14T12:00:00Z,Matchday 1,,Blackburn Rovers,,Everton FC,,1,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-6b23a0532d61da364fd4ad20,EPL,2010-11,2010-08-14T12:00:00Z,Matchday 1,,Wolverhampton Wanderers,,Stoke City,,2,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-72dbf7f0038874e1414371e5,EPL,2010-11,2010-08-14T12:00:00Z,Matchday 1,,Sunderland AFC,,Birmingham City,,2,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-d733ddcebdf716d954becdfd,EPL,2010-11,2010-08-14T12:00:00Z,Matchday 1,,Wigan Athletic,,Blackpool FC,,0,4,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-e145ec008e2e778c8c41a1a0,EPL,2010-11,2010-08-14T12:00:00Z,Matchday 1,,Tottenham Hotspur,,Manchester City,,0,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-fc68f3c7d41effcc79ee0311,EPL,2010-11,2010-08-14T12:00:00Z,Matchday 1,,Bolton Wanderers,,Fulham FC,,0,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-ffce16c785fae11dcb793eb8,EPL,2010-11,2010-08-14T12:00:00Z,Matchday 1,,Aston Villa,,West Ham United,,3,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-b5bf7d74b2caae3e69cf1f74,EPL,2010-11,2010-08-15T12:00:00Z,Matchday 1,,Liverpool FC,,Arsenal FC,,1,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-2a306e65c076165177f441b0,EPL,2010-11,2010-08-16T12:00:00Z,Matchday 1,,Manchester United,,Newcastle United,,3,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-1ea4e2e7379cb9a60e213f45,EPL,2010-11,2010-08-21T12:00:00Z,Matchday 2,,West Ham United,,Bolton Wanderers,,1,3,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-420f6457b30685307c7d860a,EPL,2010-11,2010-08-21T12:00:00Z,Matchday 2,,Everton FC,,Wolverhampton Wanderers,,1,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-7516234eba1abdb6be85a1da,EPL,2010-11,2010-08-21T12:00:00Z,Matchday 2,,Stoke City,,Tottenham Hotspur,,1,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-83f543f47b9baa035a143682,EPL,2010-11,2010-08-21T12:00:00Z,Matchday 2,,Birmingham City,,Blackburn Rovers,,2,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-d2d18e801e1d8d834567b89b,EPL,2010-11,2010-08-21T12:00:00Z,Matchday 2,,West Bromwich Albion,,Sunderland AFC,,1,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-edfd22c07e7df2e87b320301,EPL,2010-11,2010-08-21T12:00:00Z,Matchday 2,,Arsenal FC,,Blackpool FC,,6,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-fe223fce263c767f52eb6fe2,EPL,2010-11,2010-08-21T12:00:00Z,Matchday 2,,Wigan Athletic,,Chelsea FC,,0,6,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-c023c142856e06236f3ddd07,EPL,2010-11,2010-08-22T12:00:00Z,Matchday 2,,Newcastle United,,Aston Villa,,6,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-ef8d7eb93365e386b64844f4,EPL,2010-11,2010-08-22T12:00:00Z,Matchday 2,,Fulham FC,,Manchester United,,2,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-fa18992bb909d6675e9410ee,EPL,2010-11,2010-08-23T12:00:00Z,Matchday 2,,Manchester City,,Liverpool FC,,3,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-683c9b3f0c57da7ef652faa3,EPL,2010-11,2010-08-28T12:00:00Z,Matchday 3,,Blackpool FC,,Fulham FC,,2,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-7a2fadbfa429a4f27c99ceab,EPL,2010-11,2010-08-28T12:00:00Z,Matchday 3,,Wolverhampton Wanderers,,Newcastle United,,1,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-b9cd6a6d890050a32284b213,EPL,2010-11,2010-08-28T12:00:00Z,Matchday 3,,Chelsea FC,,Stoke City,,2,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-bbc9ace791eb3237e4b6dc78,EPL,2010-11,2010-08-28T12:00:00Z,Matchday 3,,Tottenham Hotspur,,Wigan Athletic,,0,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-e6bcc0e4abe0b7e78fc4a65f,EPL,2010-11,2010-08-28T12:00:00Z,Matchday 3,,Manchester United,,West Ham United,,3,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-ef374cb27b6a207675d9e504,EPL,2010-11,2010-08-28T12:00:00Z,Matchday 3,,Blackburn Rovers,,Arsenal FC,,1,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-09c8147b63a144752ee3ff99,EPL,2010-11,2010-08-29T12:00:00Z,Matchday 3,,Bolton Wanderers,,Birmingham City,,2,2,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-17d9290ee1a93fe29fb58135,EPL,2010-11,2010-08-29T12:00:00Z,Matchday 3,,Sunderland AFC,,Manchester City,,1,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-46de14993a7f9f3b73272640,EPL,2010-11,2010-08-29T12:00:00Z,Matchday 3,,Liverpool FC,,West Bromwich Albion,,1,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-f64aa266dca6dc7aacd6bcd0,EPL,2010-11,2010-08-29T12:00:00Z,Matchday 3,,Aston Villa,,Everton FC,,1,0,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-16baedcf8c7ae026390377c1,EPL,2010-11,2010-09-11T12:00:00Z,Matchday 4,,West Bromwich Albion,,Tottenham Hotspur,,1,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
epl-openfootball-43f683fe460c4823cf399499,EPL,2010-11,2010-09-11T12:00:00Z,Matchday 4,,Manchester City,,Blackburn Rovers,,1,1,FINISHED,openfootball,2026-08-23T20:56:35+00:00
