game_id,comp,season,date_utc,stage,venue,home_name,home_code,away_name,away_code,home_score,away_score,status,source,first_seen
mlb-9543886,MLB,2026,2026-07-06T01:30:00Z,Regular,Angel Stadium,Los Angeles Angels,LAA,Boston Red Sox,BOS,5,7,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5059128,MLB,2026,2026-07-06T18:10:00Z,Regular,Kauffman Stadium,Kansas City Royals,KC,Philadelphia Phillies,PHI,15,1,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5059129,MLB,2026,2026-07-06T22:40:00Z,Regular,Tropicana Field,Tampa Bay Rays,TB,New York Yankees,NYY,1,5,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5059130,MLB,2026,2026-07-06T22:45:00Z,Regular,Nationals Park,Washington Nationals,WSH,Houston Astros,HOU,12,11,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5059131,MLB,2026,2026-07-06T23:15:00Z,Regular,Truist Park,Atlanta Braves,ATL,New York Mets,NYM,6,7,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5059132,MLB,2026,2026-07-06T23:45:00Z,Regular,Busch Stadium,St. Louis Cardinals,STL,Milwaukee Brewers,MIL,3,4,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5059133,MLB,2026,2026-07-07T01:40:00Z,Regular,Petco Park,San Diego Padres,SD,Arizona Diamondbacks,ARI,0,8,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5059134,MLB,2026,2026-07-07T01:45:00Z,Regular,Oracle Park,San Francisco Giants,SF,Toronto Blue Jays,TOR,10,1,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5059135,MLB,2026,2026-07-07T02:10:00Z,Regular,Dodger Stadium,Los Angeles Dodgers,LAD,Colorado Rockies,COL,8,7,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-7628573,MLB,2026,2026-07-07T18:15:00Z,Regular,Busch Stadium,St. Louis Cardinals,STL,Milwaukee Brewers,MIL,3,4,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5059136,MLB,2026,2026-07-07T22:35:00Z,Regular,Oriole Park at Camden Yards,Baltimore Orioles,BAL,Chicago Cubs,CHC,2,5,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5059137,MLB,2026,2026-07-07T22:40:00Z,Regular,Comerica Park,Detroit Tigers,DET,Oakland Athletics,OAK,6,2,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5059138,MLB,2026,2026-07-07T22:40:00Z,Regular,PNC Park,Pittsburgh Pirates,PIT,Atlanta Braves,ATL,12,4,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5059139,MLB,2026,2026-07-07T22:40:00Z,Regular,Tropicana Field,Tampa Bay Rays,TB,New York Yankees,NYY,6,4,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5059140,MLB,2026,2026-07-07T22:40:00Z,Regular,loanDepot park,Miami Marlins,MIA,Seattle Mariners,SEA,6,5,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
mlb-5059141,MLB,2026,2026-07-07T22:45:00Z,Regular,Nationals Park,Washington Nationals,WSH,Houston Astros,HOU,3,6,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
